week,province_name,total_intensity,event_count,mean_goldstein,intensity_per_event
2025-09-01,Papua Barat,145.0,4,-9.125,36.25
2025-09-01,Riau,1746.0,17,-8.676,102.706
2025-09-01,Sulawesi Selatan,5694.0,80,-8.575,71.175
2025-09-01,Sulawesi Tenggara,125.0,2,-8.25,62.5
2025-09-01,Sulawesi Utara,39.0,1,-6.5,39.0
2025-09-01,Sumatera Barat,190.0,3,-10.0,63.333
2025-09-01,Sumatera Selatan,312.0,4,-8.125,78.0
2025-09-01,Sumatera Utara,2411.5,48,-8.219,50.24
2025-09-01,Unknown,1276.0,20,-8.55,63.8
2025-09-08,Aceh,296.0,4,-9.75,74.0
2025-09-08,Bali,160.0,3,-10.0,53.333
2025-09-08,Banten,1374.0,17,-9.0,80.824
2025-09-08,Daerah Istimewa Yogyakarta,270.0,5,-7.4,54.0
2025-09-08,Dki Jakarta,4911.0,74,-8.642,66.365
2025-09-08,Jawa Barat,2325.0,31,-9.177,75.0
2025-09-08,Jawa Tengah,2005.0,23,-8.913,87.174
2025-09-08,Jawa Timur,4139.5,53,-9.255,78.104
2025-09-08,Kalimantan Selatan,100.0,1,-10.0,100.0
2025-09-08,Kalimantan Tengah,90.0,1,-9.0,90.0
2025-09-08,Kepulauan Bangka Belitung,335.0,5,-7.9,67.0
2025-09-08,Lampung,255.0,3,-8.5,85.0
2025-09-08,Maluku Utara,20.0,1,-10.0,20.0
2025-09-08,Nusa Tenggara Barat,50.0,2,-10.0,25.0
2025-09-08,Papua,470.0,5,-9.1,94.0
2025-09-08,Papua Barat,100.0,1,-10.0,100.0
2025-09-08,Riau,785.0,9,-9.611,87.222
2025-09-08,Sulawesi Barat,80.0,2,-10.0,40.0
2025-09-08,Sulawesi Selatan,4001.5,60,-8.5,66.692
2025-09-08,Sulawesi Tenggara,65.0,2,-6.5,32.5
2025-09-08,Sumatera Utara,3018.0,43,-8.744,70.186
2025-09-08,Unknown,752.5,10,-9.15,75.25
2025-09-15,Aceh,181.0,3,-7.333,60.333
2025-09-15,Bali,612.0,8,-9.125,76.5
2025-09-15,Banten,1175.0,12,-9.542,97.917
2025-09-15,Bengkulu,95.0,1,-9.5,95.0
2025-09-15,Daerah Istimewa Yogyakarta,399.0,7,-7.0,57.0
2025-09-15,Dki Jakarta,5606.5,71,-8.662,78.965
2025-09-15,Gorontalo,100.0,1,-10.0,100.0
2025-09-15,Jambi,345.0,4,-8.625,86.25
2025-09-15,Jawa Barat,1435.0,21,-8.5,68.333
2025-09-15,Jawa Tengah,1709.0,22,-9.136,77.682
2025-09-15,Jawa Timur,4047.5,59,-9.161,68.602
2025-09-15,Kalimantan Barat,100.0,1,-10.0,100.0
2025-09-15,Kalimantan Selatan,140.0,2,-10.0,70.0
2025-09-15,Kalimantan Tengah,243.0,4,-7.375,60.75
2025-09-15,Kepulauan Bangka Belitung,345.0,5,-7.4,69.0
2025-09-15,Kepulauan Riau,10.0,1,-10.0,10.0
2025-09-15,Nusa Tenggara Barat,520.0,6,-10.0,86.667
2025-09-15,Nusa Tenggara Timur,376.5,5,-9.1,75.3
2025-09-15,Papua Barat,200.0,2,-10.0,100.0
2025-09-15,Riau,293.0,6,-9.417,48.833
2025-09-15,Sulawesi Selatan,2874.0,44,-8.67,65.318
2025-09-15,Sulawesi Tenggara,100.0,1,-10.0,100.0
2025-09-15,Sumatera Selatan,300.0,3,-10.0,100.0
2025-09-15,Sumatera Utara,1133.0,20,-8.925,56.65
2025-09-15,Unknown,90.0,2,-10.0,45.0
2025-09-22,Aceh,95.0,2,-8.25,47.5
2025-09-22,Bali,150.0,2,-9.5,75.0
2025-09-22,Banten,502.0,7,-8.714,71.714
2025-09-22,Daerah Istimewa Yogyakarta,240.0,3,-8.0,80.0
2025-09-22,Dki Jakarta,4271.5,52,-8.885,82.144
2025-09-22,Gorontalo,38.0,1,-9.5,38.0
2025-09-22,Jambi,190.0,2,-9.5,95.0
2025-09-22,Jawa Barat,1113.0,17,-8.765,65.471
2025-09-22,Jawa Tengah,1496.0,18,-9.278,83.111
2025-09-22,Jawa Timur,2229.0,31,-9.145,71.903
2025-09-22,Kalimantan Barat,165.0,2,-8.25,82.5
2025-09-22,Kalimantan Tengah,115.0,2,-8.75,57.5
2025-09-22,Kalimantan Timur,108.0,1,-9.0,108.0
2025-09-22,Kepulauan Bangka Belitung,6.5,1,-6.5,6.5
2025-09-22,Nusa Tenggara Barat,375.0,5,-7.9,75.0
2025-09-22,Nusa Tenggara Timur,100.0,1,-10.0,100.0
2025-09-22,Papua,200.0,2,-10.0,100.0
2025-09-22,Riau,405.0,5,-9.7,81.0
2025-09-22,Sulawesi Selatan,3257.0,48,-8.771,67.854
2025-09-22,Sulawesi Tengah,30.0,1,-10.0,30.0
2025-09-22,Sumatera Selatan,190.0,2,-9.5,95.0
2025-09-22,Sumatera Utara,1598.5,23,-8.804,69.5
2025-09-22,Unknown,328.0,5,-8.8,65.6
2025-09-29,Aceh,360.0,5,-9.8,72.0
2025-09-29,Bali,120.0,2,-10.0,60.0
2025-09-29,Banten,430.0,6,-9.833,71.667
2025-09-29,Daerah Istimewa Yogyakarta,570.0,8,-9.062,71.25
2025-09-29,Dki Jakarta,4512.5,54,-8.981,83.565
2025-09-29,Jambi,265.0,3,-8.833,88.333
2025-09-29,Jawa Barat,1211.5,21,-8.952,57.69
2025-09-29,Jawa Tengah,1151.5,19,-9.316,60.605
2025-09-29,Jawa Timur,3797.0,52,-9.433,73.019
2025-09-29,Kalimantan Timur,18.0,1,-9.0,18.0
2025-09-29,Kepulauan Bangka Belitung,88.0,2,-7.0,44.0
2025-09-29,Kepulauan Riau,175.0,2,-9.75,87.5
2025-09-29,Nusa Tenggara Barat,20.0,1,-10.0,20.0
2025-09-29,Nusa Tenggara Timur,228.0,2,-9.5,114.0
2025-09-29,Papua,113.0,2,-8.25,56.5
2025-09-29,Riau,793.0,14,-9.464,56.643
2025-09-29,Sulawesi Selatan,2789.0,40,-8.838,69.725
2025-09-29,Sulawesi Tengah,30.0,1,-10.0,30.0
2025-09-29,Sulawesi Utara,190.0,2,-9.5,95.0
2025-09-29,Sumatera Selatan,100.0,1,-10.0,100.0
2025-09-29,Sumatera Utara,1416.5,26,-9.365,54.481
2025-09-29,Unknown,304.0,5,-9.8,60.8
2025-10-06,Aceh,165.5,4,-9.625,41.375
2025-10-06,Banten,426.0,7,-9.714,60.857
2025-10-06,Bengkulu,36.0,1,-9.0,36.0
2025-10-06,Daerah Istimewa Yogyakarta,333.0,4,-8.625,83.25
2025-10-06,Dki Jakarta,3469.5,43,-8.791,80.686
2025-10-06,Gorontalo,100.0,1,-10.0,100.0
